county,TAZ,tm15,link21,jobs
6001,1585,OTHEMPN,CONS,1
6001,1586,FPSEMPN,FIRE,4
6001,1586,HEREMPN,HMED,1
6001,1587,FPSEMPN,FIRE,11
6001,1587,HEREMPN,HIED,36
6001,1587,HEREMPN,HMED,4
6001,1587,HEREMPN,PERS,5
6001,1587,MWTEMPN,MFRG,3
6001,1587,MWTEMPN,WTWT,12
6001,1587,OTHEMPN,CONS,5
6001,1587,OTHEMPN,FIRE,2
6001,1587,RETEMP,RETR,50
6001,1588,FPSEMPN,FIRE,83
6001,1588,HEREMPN,HMED,223
6001,1588,HEREMPN,K12E,85
6001,1588,HEREMPN,PERS,43
6001,1588,HEREMPN,RECS,281
6001,1588,MWTEMPN,MFRG,4
6001,1588,MWTEMPN,WTWT,1
6001,1588,OTHEMPN,CONS,28
6001,1588,OTHEMPN,FIRE,20
6001,1588,RETEMP,RETL,304
6001,1588,RETEMP,RETR,678
6001,1589,FPSEMPN,FIRE,18
6001,1589,HEREMPN,HIED,5
6001,1589,HEREMPN,HMED,67
6001,1589,HEREMPN,K12E,62
6001,1589,HEREMPN,PERS,25
6001,1589,HEREMPN,RECS,53
6001,1589,HEREMPN,SOCS,51
6001,1589,MWTEMPN,UTIL,60
6001,1589,MWTEMPN,WTWT,15
6001,1589,OTHEMPN,FIRE,34
6001,1589,OTHEMPN,GOVT,1749
6001,1589,RETEMP,RETL,11
6001,1590,AGREMPN,FFRE,7
6001,1590,FPSEMPN,FIRE,1330
6001,1590,FPSEMPN,UTIL,5
6001,1590,HEREMPN,HIED,42
6001,1590,HEREMPN,HMED,160
6001,1590,HEREMPN,K12E,146
6001,1590,HEREMPN,PERS,143
6001,1590,HEREMPN,RECS,430
6001,1590,HEREMPN,SOCS,40
6001,1590,MWTEMPN,MFRG,1871
6001,1590,MWTEMPN,WTWT,589
6001,1590,OTHEMPN,CONS,266
6001,1590,OTHEMPN,FIRE,603
6001,1590,OTHEMPN,GOVT,277
6001,1590,RETEMP,RETL,205
6001,1590,RETEMP,RETR,33
6001,1591,AGREMPN,FFRE,7
6001,1591,FPSEMPN,FIRE,37
6001,1591,HEREMPN,HIED,2
6001,1591,HEREMPN,HMED,5
6001,1591,HEREMPN,K12E,60
6001,1591,HEREMPN,PERS,7
6001,1591,HEREMPN,RECS,25
6001,1591,MWTEMPN,MFRG,883
6001,1591,MWTEMPN,WTWT,56
6001,1591,OTHEMPN,CONS,34
6001,1591,OTHEMPN,FIRE,11
6001,1591,OTHEMPN,GOVT,193
6001,1591,RETEMP,RETL,10
6001,1591,RETEMP,RETR,500
6001,1592,FPSEMPN,FIRE,129
6001,1592,HEREMPN,HIED,55
6001,1592,HEREMPN,HMED,46
6001,1592,HEREMPN,PERS,52
6001,1592,HEREMPN,RECS,78
6001,1592,HEREMPN,SOCS,16
6001,1592,MWTEMPN,MFRG,14
6001,1592,MWTEMPN,WTWT,40
6001,1592,OTHEMPN,CONS,52
6001,1592,OTHEMPN,FIRE,20
6001,1592,RETEMP,RETL,119
6001,1593,FPSEMPN,FIRE,1145
6001,1593,FPSEMPN,UTIL,20
6001,1593,HEREMPN,HIED,69
6001,1593,HEREMPN,HMED,301
6001,1593,HEREMPN,K12E,20
6001,1593,HEREMPN,PERS,101
6001,1593,HEREMPN,RECS,42
6001,1593,HEREMPN,SOCS,106
6001,1593,MWTEMPN,MFRG,322
6001,1593,MWTEMPN,WTWT,362
6001,1593,OTHEMPN,CONS,477
6001,1593,OTHEMPN,FIRE,62
6001,1593,OTHEMPN,GOVT,15
6001,1593,RETEMP,RETL,61
6001,1593,RETEMP,RETR,64
6001,1594,FPSEMPN,FIRE,3
6001,1594,HEREMPN,HMED,49
6001,1594,HEREMPN,K12E,65
6001,1594,HEREMPN,PERS,2
6001,1594,HEREMPN,SOCS,6
6001,1594,MWTEMPN,MFRG,4
6001,1594,MWTEMPN,WTWT,1
6001,1595,AGREMPN,FFRE,4
6001,1595,FPSEMPN,FIRE,98
6001,1595,HEREMPN,HMED,1
6001,1595,HEREMPN,K12E,8
6001,1595,HEREMPN,PERS,11
6001,1595,HEREMPN,RECS,1082
6001,1595,MWTEMPN,MFRG,197
6001,1595,MWTEMPN,UTIL,109
6001,1595,MWTEMPN,WTWT,27
6001,1595,OTHEMPN,CONS,44
