county,TAZ,tm15,link21,jobs
6075,34,MWTEMPN,MFRG,463
6075,34,MWTEMPN,WTWT,299
6075,34,MWTEMPN,UTIL,44
6075,34,OTHEMPN,FIRE,1254
6075,34,OTHEMPN,CONS,193
6075,34,RETEMPN,RETL,131
6075,34,RETEMPN,RETR,127
6075,34,AGREMPN,FFRE,7
6075,35,FPSEMPN,FIRE,81
6075,35,HEREMPN,PERS,3
6075,35,HEREMPN,RECS,56
6075,35,HEREMPN,SOCS,3
6075,35,MWTEMPN,MFRG,3
6075,35,MWTEMPN,WTWT,8
6075,35,OTHEMPN,FIRE,78
6075,35,RETEMPN,RETL,10
6075,36,FPSEMPN,FIRE,247
6075,36,HEREMPN,HMED,55
6075,36,HEREMPN,PERS,18
6075,36,HEREMPN,RECS,125
6075,36,HEREMPN,SOCS,21
6075,36,MWTEMPN,MFRG,12
6075,36,MWTEMPN,WTWT,24
6075,36,OTHEMPN,FIRE,173
6075,36,OTHEMPN,CONS,21
6075,36,RETEMPN,RETL,119
6075,36,RETEMPN,RETR,1
6075,37,FPSEMPN,FIRE,739
6075,37,HEREMPN,HIED,6
6075,37,HEREMPN,HMED,17
6075,37,HEREMPN,K12E,29
6075,37,HEREMPN,PERS,58
6075,37,HEREMPN,RECS,384
6075,37,HEREMPN,SOCS,11
6075,37,MWTEMPN,MFRG,58
6075,37,MWTEMPN,WTWT,13
6075,37,OTHEMPN,FIRE,96
6075,37,OTHEMPN,CONS,91
6075,37,OTHEMPN,GOVT,9
6075,37,RETEMPN,RETL,119
6075,37,RETEMPN,RETR,13
6075,38,FPSEMPN,FIRE,126
6075,38,HEREMPN,HIED,3
6075,38,HEREMPN,HMED,54
6075,38,HEREMPN,PERS,39
6075,38,HEREMPN,RECS,92
6075,38,HEREMPN,SOCS,7
6075,38,MWTEMPN,MFRG,3
6075,38,MWTEMPN,WTWT,9
6075,38,OTHEMPN,FIRE,10
6075,38,OTHEMPN,CONS,10
6075,38,OTHEMPN,GOVT,154
6075,38,RETEMPN,RETL,101
6075,39,FPSEMPN,FIRE,197
6075,39,HEREMPN,HIED,2
6075,39,HEREMPN,HMED,161
6075,39,HEREMPN,PERS,31
6075,39,HEREMPN,RECS,232
6075,39,HEREMPN,SOCS,4
6075,39,MWTEMPN,MFRG,17
6075,39,MWTEMPN,WTWT,11
6075,39,OTHEMPN,FIRE,127
6075,39,OTHEMPN,CONS,74
6075,39,OTHEMPN,GOVT,310
6075,39,RETEMPN,RETL,74
6075,39,RETEMPN,RETR,11
6075,40,FPSEMPN,FIRE,3769
6075,40,HEREMPN,HIED,48
6075,40,HEREMPN,HMED,318
6075,40,HEREMPN,K12E,85
6075,40,HEREMPN,PERS,142
6075,40,HEREMPN,RECS,3632
6075,40,HEREMPN,SOCS,214
6075,40,MWTEMPN,MFRG,23
6075,40,MWTEMPN,WTWT,119
6075,40,OTHEMPN,FIRE,93
6075,40,OTHEMPN,CONS,151
6075,40,OTHEMPN,GOVT,5637
6075,40,RETEMPN,RETL,381
6075,40,RETEMPN,RETR,3
6075,40,AGREMPN,FFRE,2
6075,41,FPSEMPN,FIRE,167
6075,41,HEREMPN,HMED,17
6075,41,HEREMPN,K12E,34
6075,41,HEREMPN,PERS,29
6075,41,HEREMPN,RECS,109
6075,41,HEREMPN,SOCS,110
6075,41,MWTEMPN,MFRG,1
6075,41,MWTEMPN,WTWT,5
6075,41,OTHEMPN,FIRE,445
6075,41,OTHEMPN,CONS,121
6075,41,RETEMPN,RETL,8
6075,41,RETEMPN,RETR,5
6075,42,FPSEMPN,FIRE,487
6075,42,HEREMPN,HMED,30
6075,42,HEREMPN,K12E,19
6075,42,HEREMPN,PERS,46
6075,42,HEREMPN,RECS,149
6075,42,HEREMPN,SOCS,355
6075,42,MWTEMPN,MFRG,25
6075,42,MWTEMPN,WTWT,12
6075,42,OTHEMPN,FIRE,326
6075,42,OTHEMPN,CONS,70
6075,42,RETEMPN,RETL,143
6075,42,RETEMPN,RETR,36
6075,42,AGREMPN,FFRE,2
6075,43,FPSEMPN,FIRE,395
6075,43,HEREMPN,HIED,9
6075,43,HEREMPN,HMED,3
6075,43,HEREMPN,PERS,42
6075,43,HEREMPN,RECS,506
6075,43,HEREMPN,SOCS,22
6075,43,MWTEMPN,WTWT,30
6075,43,OTHEMPN,FIRE,645
6075,43,OTHEMPN,CONS,26
6075,43,RETEMPN,RETL,101
6075,43,RETEMPN,RETR,4
6075,43,AGREMPN,FFRE,2
6075,44,FPSEMPN,FIRE,115
6075,44,HEREMPN,HMED,31
6075,44,HEREMPN,PERS,31
6075,44,HEREMPN,RECS,71
6075,44,MWTEMPN,MFRG,9
6075,44,OTHEMPN,FIRE,23
6075,44,OTHEMPN,CONS,33
6075,44,OTHEMPN,GOVT,12
6075,44,RETEMPN,RETL,11
6075,44,RETEMPN,RETR,8
6075,45,FPSEMPN,FIRE,13
